record_id,month,day,year,plot_id,species_id,sex,hindfoot_length,weight,date,day_of_week,plot_type,genus,species,taxa
63,8,19,1977,3,DM,M,35,40,1977-08-19,Fri,Long-term Krat Exclosure,Dipodomys,merriami,Rodent
64,8,19,1977,7,DM,M,37,48,1977-08-19,Fri,Rodent Exclosure,Dipodomys,merriami,Rodent
65,8,19,1977,4,DM,F,34,29,1977-08-19,Fri,Control,Dipodomys,merriami,Rodent
66,8,19,1977,4,DM,F,35,46,1977-08-19,Fri,Control,Dipodomys,merriami,Rodent
67,8,19,1977,7,DM,M,35,36,1977-08-19,Fri,Rodent Exclosure,Dipodomys,merriami,Rodent
68,8,19,1977,8,DO,F,32,52,1977-08-19,Fri,Control,Dipodomys,ordii,Rodent
69,8,19,1977,2,PF,M,15,8,1977-08-19,Fri,Control,Perognathus,flavus,Rodent
71,8,19,1977,7,DM,F,36,35,1977-08-19,Fri,Rodent Exclosure,Dipodomys,merriami,Rodent
74,8,19,1977,8,PF,M,12,7,1977-08-19,Fri,Control,Perognathus,flavus,Rodent
75,8,19,1977,8,DM,F,32,22,1977-08-19,Fri,Control,Dipodomys,merriami,Rodent
78,8,19,1977,1,PF,M,16,9,1977-08-19,Fri,Spectab exclosure,Perognathus,flavus,Rodent
79,8,19,1977,7,DM,F,34,42,1977-08-19,Fri,Rodent Exclosure,Dipodomys,merriami,Rodent
81,8,19,1977,4,PF,F,14,8,1977-08-19,Fri,Control,Perognathus,flavus,Rodent
82,8,19,1977,4,DM,F,35,41,1977-08-19,Fri,Control,Dipodomys,merriami,Rodent
83,8,20,1977,6,DM,F,37,37,1977-08-20,Sat,Short-term Krat Exclosure,Dipodomys,merriami,Rodent
84,8,20,1977,19,DM,F,35,43,1977-08-20,Sat,Long-term Krat Exclosure,Dipodomys,merriami,Rodent
85,8,20,1977,23,DM,F,35,41,1977-08-20,Sat,Rodent Exclosure,Dipodomys,merriami,Rodent
86,8,20,1977,18,DM,F,33,40,1977-08-20,Sat,Short-term Krat Exclosure,Dipodomys,merriami,Rodent
87,8,20,1977,5,PF,F,11,9,1977-08-20,Sat,Rodent Exclosure,Perognathus,flavus,Rodent
88,8,20,1977,18,DM,F,35,45,1977-08-20,Sat,Short-term Krat Exclosure,Dipodomys,merriami,Rodent
89,8,20,1977,12,PP,F,20,15,1977-08-20,Sat,Control,Chaetodipus,penicillatus,Rodent
90,8,20,1977,18,DM,M,35,29,1977-08-20,Sat,Short-term Krat Exclosure,Dipodomys,merriami,Rodent
92,8,20,1977,6,DM,M,35,39,1977-08-20,Sat,Short-term Krat Exclosure,Dipodomys,merriami,Rodent
94,8,20,1977,18,DM,F,36,43,1977-08-20,Sat,Short-term Krat Exclosure,Dipodomys,merriami,Rodent
